nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;coords
Banque Populaire;16607;Banque Populaire du Sud;00025;ST CYPRIEN PLAGE;27, bd Desnoyer;42.628502,3.031874
Banque Populaire;16607;Banque Populaire du Sud;00058;LEZAT SUR LEZE;3, rte de Toulouse;43.310634,1.326643
Banque Populaire;16607;Banque Populaire du Sud;00243;AGDE;55, rte de Sète;43.309327,3.496702
Banque Populaire;16607;Banque Populaire du Sud;00267;NIMES VILLE ACTIVE;5, rue des Lauriers;43.816721,4.351817
Banque Populaire;10107;BRED-Banque Populaire;00711;COLOMBES;130, bd Charles de Gaulle;48.914146,2.229727
Banque Populaire;16607;Banque Populaire du Sud;00422;AG LA GRANDE MOTTE BDP;55, AVENUE MELGUEIL;43.562822,4.086608
Banque Populaire;16607;Banque Populaire du Sud;00457;AG AUCHAN BEZIERS BDP;4, AVENUE DE LA VOIE DOMITIENNE;43.346828,3.242917
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00027;SAMOENS;202, Grande Rue;46.084316,6.724146
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00136;SUD BELLEDONNE ECHIROLLES;31, rue Normandie Niemen;45.148346,5.719989
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00162;OISANS LES DEUX ALPES;22, ave de la Muzelle;45.006032,6.121839
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00164;AGENCE ENTREPRISES CENTR'ALP;196, rue du Rocher de Lorzier;45.32103,5.592682
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00165;AGENCE ENTREPRISES MONTBONNOT;445, rue Lavoisier;45.216736,5.813168
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00166;AGENCE ENTREPRISES GAP;70, impasse Saint Abdon;44.45687,6.049164
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00366;MONTLUCON VAL DE CHER ST JACQUES;8, quai Louis Blanc;46.345493,2.599892
Banque Populaire;10207;Banque Populaire Rives de Paris;00039;RUNGIS MIN;84, rue de la Tour;48.746131,2.352111
Banque Populaire;18707;Banque Populaire Val de France;00069;GUYANCOURT VILLAROY;5-7, rue Georges Haussmann;48.767613,2.078024
Banque Populaire;18707;Banque Populaire Val de France;00116;BARJOUVILLE;1, rue des Orvilles;48.409773,1.463372
