code_etab;nom_etab;code_agence;nom_agence;rue;nom_banque;place_id;rating;user_ratings_total;lat_lng
17515;ILE DE FRANCE;59;COLOMBES;1, PLACE DU GÉNÉRAL LECLERC;Caisse d'Epargne;ChIJKyi768Zl5kcRxMYLyp4CB0k;1.9;143.0;48.9222280,2.2524041
17515;ILE DE FRANCE;15;PARIS DAUMESNIL;19, PLACE FÉLIX EBOUÉ;Caisse d'Epargne;ChIJDwV8Mmly5kcRaAgerdb1oHc;2.6;110.0;48.8393186,2.3969837
17515;ILE DE FRANCE;73;PUTEAUX;51 RUE RICHARD WALLACE;Caisse d'Epargne;ChIJ4ccoHR9l5kcRrL0xMpzyy0E;3.0;99.0;48.8807443,2.2375647
17515;ILE DE FRANCE;12;PARIS RÉPUBLIQUE;134, AVENUE PARMENTIER;Caisse d'Epargne;ChIJcZkho-Nt5kcR_9GaoOv4heE;2.9;99.0;48.8688381,2.3721251
11315;PROVENCE ALPES CORSE REUNION;123;ESTRANGIN PASTRE;PLACE ESTRANGIN PASTRE;Caisse d'Epargne;ChIJRfBL_LnAyRIRKsLr-97nLJ4;2.2;98.0;43.2902160,5.3776134
13825;RHONE ALPES;30148;MONTCHAT;67, COURS DOCTEUR LONG;Caisse d'Epargne;ChIJP3cR08XB9EcRlLGffaQapp0;4.2;92.0;45.7500872,4.8857446
17515;ILE DE FRANCE;96;ANTONY;3, RUE AUGUSTE MOUNIE;Caisse d'Epargne;ChIJ34H1tRl35kcRihE84Ogeu2s;1.4;88.0;48.7534686,2.3043866
11315;PROVENCE ALPES CORSE REUNION;415;AIX MIRABEAU;42 COURS MIRABEAU;Caisse d'Epargne;ChIJyTgTHJaNyRIRv5iNQebf8FE;2.7;86.0;43.5267775,5.4506007
10807;Banque Populaire Bourgogne Franche-Comté;00030;BESANCON HELVETIE;1, pl de la 1ère Armée Française;Banque Populaire;ChIJN7-NMhRjjUcReOGOol-D9UE;4.0;83.0;47.2427941,6.0292034
18315;COTE D'AZUR;146;LA GARDE;AV GABRIEL PERI;Caisse d'Epargne;ChIJk0fAdA4ZyRIRRvJlNk_dTyw;4.3;82.0;43.1249930,6.0099867
