nom_banque;code_etab;nom_etab;code_agence;nom_agence;rue;place_id;place_name;rating;user_ratings_total;geopoints
Banque Populaire;16607;Banque Populaire du Sud;00025;ST CYPRIEN PLAGE;27, bd Desnoyer;ChIJ0YA9x418sBIRdi6DimChZnU;Banque Populaire du Sud;2.2;12.0;
Banque Populaire;16607;Banque Populaire du Sud;00058;LEZAT SUR LEZE;3, rte de Toulouse;ChIJV82cUYvQrhIRVnrAycDrIps;Banque Populaire du Sud;2.3;3.0;
Banque Populaire;16607;Banque Populaire du Sud;00243;AGDE;55, rte de Sète;ChIJicgfZIs8sRIR7u2_pjIeqCo;Banque Populaire du Sud;2.9;7.0;
Banque Populaire;16607;Banque Populaire du Sud;00267;NIMES VILLE ACTIVE;5, rue des Lauriers;ChIJpRGHyFYstBIRDtEZiv3zhWg;Banque Populaire du Sud;3.8;25.0;
Banque Populaire;10107;BRED-Banque Populaire;00711;COLOMBES;130, bd Charles de Gaulle;ChIJ8-o2MUlk5kcR01c9fLwhjaA;BRED-Banque Populaire;1.5;13.0;
Banque Populaire;16607;Banque Populaire du Sud;00422;AG LA GRANDE MOTTE BDP;55, AVENUE MELGUEIL;ChIJSfkHXfOXthIRiT6NLuD8QvQ;Banque Populaire du Sud;2.4;11.0;
Banque Populaire;16607;Banque Populaire du Sud;00457;AG AUCHAN BEZIERS BDP;4, AVENUE DE LA VOIE DOMITIENNE;;;;;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00027;SAMOENS;202, Grande Rue;ChIJdRCUoSaqjkcRDnVbKH_k76g;Banque Populaire Auvergne Rhône Alpes;2.3;3.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00136;SUD BELLEDONNE ECHIROLLES;31, rue Normandie Niemen;ChIJafbd3UiLikcRBitRZ5U9m2g;Banque Populaire;3.9;14.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00162;OISANS LES DEUX ALPES;22, ave de la Muzelle;ChIJB59Ftd0SikcRugoUcN3hV_M;Banque Populaire Auvergne Rhône Alpes;0.0;0.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00164;AGENCE ENTREPRISES CENTR'ALP;196, rue du Rocher de Lorzier;ChIJ06gF2I3likcRqsCDItnVIxE;Banque Populaire Auvergne Rhône Alpes - Agence entreprises;1.0;1.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00165;AGENCE ENTREPRISES MONTBONNOT;445, rue Lavoisier;ChIJt1e3r1pfikcRAIGKuQZ2kTw;Banque Populaire Auvergne Rhône Alpes - Agence entreprises;0.0;0.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00166;AGENCE ENTREPRISES GAP;70, impasse Saint Abdon;ChIJT1yKwmxAyxIR-4pOo-mX3Eg;Banque Populaire Auvergne Rhône Alpes - Agence entreprises;0.0;0.0;
Banque Populaire;16807;Banque Populaire Auvergne Rhône Alpes;00366;MONTLUCON VAL DE CHER ST JACQUES;8, quai Louis Blanc;ChIJDS6MHumn8EcRM2WTahs-P4g;Banque Populaire Auvergne Rhône Alpes;4.8;8.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00039;RUNGIS MIN;84, rue de la Tour;ChIJI1alxx105kcRe_q1I0Kd_mY;Banque Populaire Rives de Paris;4.7;3.0;
Banque Populaire;18707;Banque Populaire Val de France;00069;GUYANCOURT VILLAROY;5-7, rue Georges Haussmann;ChIJB6jMBbuA5kcRLjrm7Dk_Urc;Banque Populaire Val de France;5.0;2.0;
Banque Populaire;18707;Banque Populaire Val de France;00116;BARJOUVILLE;1, rue des Orvilles;ChIJu55I9IoM5EcRIgd5mM2wtCo;Banque Populaire Val de France;2.4;10.0;
Banque Populaire;13807;Banque Populaire Grand Ouest;00062;NANTES PARIDIS;14, rte de Paris;ChIJja1B7KnvBUgRE4JcHULCLyk;Banque Populaire;3.5;38.0;
Banque Populaire;13807;Banque Populaire Grand Ouest;00755;LE MANS LES MAILLETS;138-140, rue des Maillets;ChIJA8oiuiaJ4kcRm2Y8wgwyyT8;Banque Populaire Grand Ouest;3.0;2.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00096;ST PIERRE DU PERRAY;13, rue du Clos Guinault;ChIJaeK2QUrh5UcRyogAYV17uh0;Banque Populaire Rives de Paris;2.3;9.0;
Banque Populaire;10207;Banque Populaire Rives de Paris;00122;LE COUDRAY MONTCEAUX;4-6, pl de la Mairie;ChIJ6Y42VlDm5UcRgZng8znekEc;Banque Populaire Rives de Paris;4.0;5.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00339;MANDELIEU;302, avenue de Cannes;ChIJwR4NL9-CzhIRPnEHpTrqn-E;Banque Populaire Méditerranée;3.3;6.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00342;FREJUS TASSIGNY;573, avenue de Lattre de Tassigny;ChIJmRjlYvyXzhIR6Xo_anZoJiU;Banque Populaire Méditerranée;2.8;6.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00354;NICE NAPOLEON III;170, bd Napoléon III;ChIJZ43vd6rRzRIRyQAvCoSQbcY;Banque Populaire Méditerranée;2.8;11.0;
Banque Populaire;14607;Banque Populaire Méditerranée;00359;LA SEYNE SUR MER MAR VIVO;22, ave Charles de Gaulle;ChIJ4SM2dzgDyRIRSzfVJoR2DZ0;Banque Populaire Méditerranée;3.1;19.0;
Banque Populaire;10907;Banque Populaire Aquitaine Centre Atlantique;00049;BORDEAUX PEY BERLAND;2, rue Dufour Dubergier;ChIJcc1t98QnVQ0R3WPdS52w2gE;Banque Populaire Aquitaine Centre Atlantique;4.0;19.0;
Banque Populaire;10907;Banque Populaire Aquitaine Centre Atlantique;00074;MERIGNAC ARLAC;2, allée des Conviviales;;;;;
Banque Populaire;18707;Banque Populaire Val de France;00572;SAINT GERMAIN DU PUY;28, Route de la Charité;ChIJTRw7os6X-kcRXJN-W7OuHfw;Banque Populaire;0.0;0.0;
Banque Populaire;18707;Banque Populaire Val de France;00630;ST PIERRE DES CORPS;13, pl Maurice Thorez;ChIJHxtT8OjV_EcRIEZDogQT1-U;Banque Populaire Val de France;0.0;0.0;
Banque Populaire;18707;Banque Populaire Val de France;00725;POITIERS LAFAYETTE;2, ave Lafayette;ChIJZWoGr5W-_UcRj_8Hv8Oczsg;Banque Populaire;2.8;9.0;
Banque Populaire;10107;BRED-Banque Populaire;00102;PARIS BERCY;31-35, rue Joseph Kessel;ChIJ2asGKz5y5kcRRiYna6Tl5lE;BRED-Banque Populaire;3.2;26.0;
Banque Populaire;13807;Banque Populaire Grand Ouest;00881;QUIMPER PROFESSIONNELS;6 rue René Madec;ChIJISjHPuzVEEgRllbYtjGnoLI;Banque Populaire Grand Ouest;3.3;14.0;
Banque Populaire;13807;Banque Populaire Grand Ouest;00197;NANTES CENTRE PRO;1, rue de Feltre;ChIJ5x2O96buBUgRuGk6eS_Wm2I;Banque Populaire Grand Ouest;2.6;26.0;
Banque Populaire;13807;Banque Populaire Grand Ouest;00871;ANGERS CENTRE PROF.;7, bd de Maréchal Foch;ChIJaaCODOt4CEgR-BPkOdQwfJo;Banque Populaire Grand Ouest;2.3;27.0;
Banque Populaire;13807;Banque Populaire Grand Ouest;00887;AGENCE PROFESSIONNELS LE MANS;29, place des Comtes du Maine;ChIJL-p8gqSJ4kcRI7fHZbvowPY;Banque Populaire Grand Ouest - Agence professionnels;0.0;0.0;
Banque Populaire;10107;BRED-Banque Populaire;00114;PARIS DAUMESNIL;250, ave Daumesnil;ChIJMffhqWdy5kcRQU4o_HfqXEI;BRED-Banque Populaire;2.3;38.0;
